time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.089271,0.344314
1.064994,0.090007,0.344833
1.069994,0.090497,0.345188
1.074994,0.091233,0.345735
1.079994,0.091724,0.346109
1.084995,0.092461,0.346684
1.089995,0.092953,0.347077
1.094995,0.093690,0.347682
1.099995,0.094182,0.348096
1.104996,0.093176,0.344566
1.109996,0.093533,0.344824
1.114996,0.094069,0.345221
1.119996,0.094426,0.345493
1.124997,0.094963,0.345911
1.129997,0.095321,0.346197
1.134997,0.095859,0.346638
1.139997,0.096218,0.346939
1.144997,0.096759,0.347402
1.149998,0.097119,0.347719
1.154998,0.097660,0.348207
1.159998,0.098021,0.348541
1.164998,0.098563,0.349054
1.169999,0.098925,0.349406
1.174999,0.099468,0.349946
1.179999,0.099830,0.350316
1.184999,0.100375,0.350885
1.190000,0.100739,0.351274
1.195000,0.101284,0.351872
1.200000,0.101648,0.352281
1.205000,0.099759,0.348786
1.210001,0.099963,0.349041
1.215001,0.100270,0.349435
1.220001,0.100476,0.349703
1.225001,0.100785,0.350117
1.230001,0.100992,0.350400
1.235002,0.101303,0.350835
1.240002,0.101510,0.351132
1.245002,0.101822,0.351591
1.250002,0.102030,0.351904
1.255003,0.102343,0.352387
1.260003,0.102553,0.352717
1.265003,0.102867,0.353225
1.270003,0.103077,0.353572
1.275004,0.103391,0.354107
1.280004,0.103601,0.354472
1.285004,0.103917,0.355035
1.290004,0.104128,0.355420
1.295004,0.104444,0.356011
1.300005,0.104656,0.356416
1.305005,0.093664,0.352957
1.310005,0.093601,0.353209
1.315005,0.093509,0.353598
1.320006,0.093450,0.353864
1.325006,0.093364,0.354273
1.330006,0.093309,0.354552
1.335006,0.093229,0.354983
1.340007,0.093178,0.355277
1.345007,0.093105,0.355730
1.350007,0.093059,0.356040
1.355007,0.092991,0.356517
1.360008,0.092947,0.356844
1.365008,0.092885,0.357346
1.370008,0.092845,0.357689
1.375008,0.092789,0.358218
1.380008,0.092753,0.358580
1.385009,0.092702,0.359136
1.390009,0.092670,0.359517
1.395009,0.092625,0.360102
1.400009,0.092596,0.360502
1.405010,0.081075,0.357080
1.410010,0.080958,0.357329
1.415010,0.080789,0.357714
1.420010,0.080681,0.357976
1.425011,0.080526,0.358381
1.430011,0.080428,0.358657
1.435011,0.080288,0.359083
1.440011,0.080199,0.359374
1.445011,0.080074,0.359822
1.450012,0.079996,0.360128
1.455012,0.079885,0.360600
1.460012,0.079816,0.360923
1.465012,0.079721,0.361420
1.470013,0.079662,0.361759
1.475013,0.079581,0.362282
1.480013,0.079532,0.362640
1.485013,0.079466,0.363190
1.490014,0.079427,0.363567
1.495014,0.079377,0.364145
1.500014,0.079348,0.364541
1.505014,0.086739,0.361155
1.510015,0.086832,0.361403
1.515015,0.086976,0.361783
1.520015,0.087073,0.362042
1.525015,0.087223,0.362442
1.530015,0.087324,0.362716
1.535016,0.087480,0.363137
1.540016,0.087585,0.363424
1.545016,0.087746,0.363868
1.550016,0.087856,0.364171
1.555017,0.088023,0.364637
1.560017,0.088136,0.364957
1.565017,0.088310,0.365448
1.570017,0.088428,0.365784
1.575018,0.088608,0.366301
1.580018,0.088729,0.366655
1.585018,0.088915,0.367199
1.590018,0.089041,0.367571
1.595019,0.089232,0.368144
1.600019,0.089362,0.368535
1.605019,0.127132,0.365186
1.610019,0.127982,0.365430
1.615019,0.129260,0.365806
1.620020,0.130114,0.366063
1.625020,0.131397,0.366459
1.630020,0.132255,0.366729
1.635020,0.133545,0.367146
1.640021,0.134407,0.367430
1.645021,0.135703,0.367869
1.650021,0.136568,0.368169
1.655021,0.137869,0.368630
1.660022,0.138738,0.368946
1.665022,0.140045,0.369432
1.670022,0.140917,0.369764
1.675022,0.142228,0.370276
1.680022,0.143104,0.370626
1.685023,0.144420,0.371165
1.690023,0.145298,0.371533
1.695023,0.146619,0.372099
1.700023,0.147501,0.372487
1.705024,0.116821,0.369173
1.710024,0.117196,0.369414
1.715024,0.117759,0.369786
1.720024,0.118134,0.370040
1.725025,0.118698,0.370432
1.730025,0.119074,0.370699
1.735025,0.119637,0.371111
1.740025,0.120013,0.371393
1.745026,0.120577,0.371827
1.750026,0.120954,0.372123
1.755026,0.121518,0.372580
1.760026,0.121895,0.372892
1.765026,0.122460,0.373373
1.770027,0.122837,0.373702
1.775027,0.123402,0.374209
1.780027,0.123780,0.374555
1.785027,0.124346,0.375088
1.790028,0.124724,0.375452
1.795028,0.125290,0.376013
1.800028,0.125667,0.376396
1.805028,0.127614,0.373116
1.810029,0.128042,0.373356
1.815029,0.128685,0.373724
1.820029,0.129113,0.373975
1.825029,0.129755,0.374362
1.830029,0.130184,0.374627
1.835030,0.130826,0.375035
1.840030,0.131255,0.375313
1.845030,0.131898,0.375743
1.850030,0.132327,0.376036
