MsgID.LOCAL_POSITION,89.7680000,0.0823547,-0.0029230,-0.0179714
MsgID.LOCAL_VELOCITY,89.7680000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924807,0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,90.0180000,-0.1301092,0.0614014,-0.0020294
MsgID.LOCAL_VELOCITY,90.0180000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924788,0.0020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924803,-0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,90.2680000,0.0374183,0.1808752,0.0043241
MsgID.LOCAL_VELOCITY,90.2680000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924814,0.0000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,90.5180000,0.1562842,0.0266440,-0.0001585
MsgID.LOCAL_VELOCITY,90.5180000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924814,0.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,90.7680000,0.1557044,0.0547656,-0.0156209
MsgID.LOCAL_VELOCITY,90.7680000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924802,0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,91.0180000,0.0275387,0.0634990,-0.0457679
MsgID.LOCAL_VELOCITY,91.0180000,-0.0000075,-0.0000044,0.0000080
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924801,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,91.2680000,-0.0397215,0.1598949,-0.0803965
MsgID.LOCAL_VELOCITY,91.2680000,0.0000190,-0.0000082,0.0000096
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924792,0.1240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,91.5180000,-0.1382240,0.1319327,-0.1240928
MsgID.LOCAL_VELOCITY,91.5180000,0.0000023,-0.0000115,0.0000172
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924783,0.1610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,91.7680000,-0.2360411,0.2133858,-0.1611767
MsgID.LOCAL_VELOCITY,91.7680000,-0.0000064,-0.0000165,0.0000097
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924793,0.1970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,92.0180000,-0.1285737,0.3089188,-0.1970283
MsgID.LOCAL_VELOCITY,92.0180000,0.0000118,-0.0000391,0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924803,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,92.2690000,-0.0147163,0.2460935,-0.2197989
MsgID.LOCAL_VELOCITY,92.2690000,0.0000045,-0.0000070,0.0000129
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924800,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,92.5190000,-0.0512743,0.3296854,-0.2336568
MsgID.LOCAL_VELOCITY,92.5190000,0.0000025,-0.0000065,0.0000210
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924799,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,92.7690000,-0.0523032,0.2189964,-0.2338019
MsgID.LOCAL_VELOCITY,92.7690000,0.0000020,-0.0000175,0.0000158
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924797,0.2200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.0190000,-0.0823321,0.1687505,-0.2205307
MsgID.LOCAL_VELOCITY,93.0190000,0.0000057,0.0000059,0.0000211
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924801,0.1990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.2690000,-0.0360609,0.2884839,-0.1993092
MsgID.LOCAL_VELOCITY,93.2690000,0.0000220,0.0000059,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924813,0.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.5190000,0.0990350,0.2934657,-0.1686839
MsgID.LOCAL_VELOCITY,93.5190000,0.0000021,-0.0000446,0.0000128
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924801,0.1440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,93.7690000,-0.0377525,0.3197458,-0.1443243
MsgID.LOCAL_VELOCITY,93.7690000,0.0000005,-0.0000121,0.0000114
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924788,0.1130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.0190000,-0.1754495,0.4711978,-0.1137273
MsgID.LOCAL_VELOCITY,94.0190000,-0.0000047,0.0000155,0.0000158
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924785,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.2690000,-0.2094738,0.4273293,-0.0965429
MsgID.LOCAL_VELOCITY,94.2690000,-0.0000366,-0.0000533,-0.0000444
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924783,0.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.5190000,-0.2326233,0.3178640,-0.0860114
MsgID.LOCAL_VELOCITY,94.5190000,-0.0000067,-0.0000234,0.0000161
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.7690000,-0.0561042,0.3115457,-0.0828895
MsgID.LOCAL_VELOCITY,94.7690000,-0.0000024,-0.0000347,-0.0000067
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924809,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.0190000,0.0553158,0.4431440,-0.0824993
MsgID.LOCAL_VELOCITY,95.0190000,0.0000104,-0.0000200,0.0000160
MsgID.LOCAL_POSITION,95.2690000,-0.1517853,0.2939925,-0.0824993
